schema,texte,watts,milliseconds
S1,1Ko.txt,61636.10000000006,138934.581
S1,5Ko.txt,175842.89999999938,343926.811
S1,12Ko.txt,418670.3999999982,772930.373
S2,1Ko.txt,81900.5000000004,269989.652
S2,5Ko.txt,214582.3000000005,566938.418
S2,12Ko.txt,501855.39999999636,1052939.908
S3,1Ko.txt,542561.4999999963,1395946.917
S3,5Ko.txt,672831.800000004,1662896.2619999999
S3,12Ko.txt,980597.800000011,2207975.5289999996
S4,1Ko.txt,-68668.29999999961,1042939.2880000001
S4,5Ko.txt,-88392.5000000006,1002961.061
S4,12Ko.txt,-127046.6999999983,1459983.6600000001
S5,1Ko.txt,-434547.70000000834,2191976.189
S5,5Ko.txt,-548462.1000000044,2521923.327
S5,12Ko.txt,-713818.8999999976,3056984.583
